"No","year","month","day","hour","PM2.5","PM10","SO2","NO2","O3","TEMP","PRES","DEWP","RAIN","wd","WSPM","target"
21604,2015,8,18,3,24,24,2,4,132,22.7,1000.5,16.3,0,"NE",1.9,400
4325,2013,8,28,4,35,41,3,38,16,22.2,993.3,21.2,5.8,"WSW",1,800
27151,2016,4,5,6,36,96,5,55,22,8.5,1009.3,2.5,0,"NNE",0.7,700
13172,2014,8,31,19,77,77,2,48,93,22,1009.4,20.8,0.6,"ENE",1.3,1000
30269,2016,8,13,4,33,47,8,59,2,24.6,1000.8,22.8,0,"NE",0.9,1000
23132,2015,10,20,19,67,86,2,46,16,12,1014.5,8.3,0,"N",1.6,1200
22041,2015,9,5,8,16,16,2,24,73,17.7,1005.9,17.4,2.6,"ESE",2.1,800
19031,2015,5,2,22,76,108,6,27,101,18.3,1001.1,13.2,0,"N",0.9,900
26340,2016,3,2,11,160,181,29,51,48,10.4,1008.3,-6.9,0,"ESE",2.4,1400
18800,2015,4,23,7,49,88,8,24,50,12.1,1004.6,5,0,"SSE",0.6,700
34904,2017,2,22,7,100,100,2,61,2,-3.7,1012.3,-4.8,0,"NW",1,1900
7692,2014,1,15,11,49,54,51,59,12,2.3,1025.7,-14.8,0,"S",1.6,1400
21825,2015,8,27,8,8,8,2,28,36,24.6,1006.9,16.8,0,"NNE",2.1,500
18617,2015,4,15,16,143,199,32,71,134,23.9,990.3,6.2,0,"SSE",1.5,1300
32042,2016,10,26,1,131,168,2,90,2,10.05,1014,9.1,0,"NE",1.6,2000
31595,2016,10,7,10,29,29,2,48,9,12.3,1011.3,11.5,0.7,"E",1.5,2100
12679,2014,8,11,6,12,24,2,21,46,21.8,997.1,16.3,0,"W",1,600
34100,2017,1,19,19,9,36,3,9,66,-4.875,1030.75,-25.2,0,"NW",5,800
18353,2015,4,4,16,68,75,4,24,173,16.4,1006.7,1.7,0,"SSW",1.3,600
20132,2015,6,17,19,43,61,2,44,60,28.6,997.6,19,0,"WSW",0.5,1000
34109,2017,1,20,4,7,15,3,21,53,-6.7,1031.25,-22.3,0,"NW",3,500
20297,2015,6,24,16,146,146,2,46,68,25.2,995.9,19.3,0,"ENE",0.8,1000
20318,2015,6,25,13,145,145,13,62,101,25.7,997.2,18.4,0,"SE",2.3,1100
6817,2013,12,10,0,47,72,28,57,1,-3.5,1015,-9.9,0,"WNW",0.7,1800
20470,2015,7,1,21,3,5,2,6,66,22.8,992.3,10.9,0,"NNW",1.5,100
24014,2015,11,26,13,15,21,6,12,67,-3.8,1027.7,-17.1,0,"NW",2.8,500
1475,2013,5,1,10,32,67,13,45,90,21.4,1010.9,-0.6,0,"SSE",0.9,600
23416,2015,11,1,15,62,77,7,52,58,17.1,1016.9,-2.6,0,"WSW",3.5,600
27452,2016,4,17,19,18,34,2,18,80,16.8,1005.3,-10.9,0,"WNW",2.5,300
19764,2015,6,2,11,3,38,2,12,92,29.5,1005,0.1,0,"NNE",2.8,200
4022,2013,8,15,13,83,104,3,23.8148,148,31.9,999,25.3,0,"S",1.8,1200
23796,2015,11,17,11,20,20,4,29,25,7.9,1023.7,-4.2,0,"NE",2.5,500
1936,2013,5,20,15,68,205,22,20,140,28.4,994.1,-0.7,0,"WSW",5,500
19465,2015,5,21,0,24,63,4,30,77,23.2,1009.5,3.7,0,"WSW",4.7,400
32941,2016,12,2,12,44,52,21,36,43,6.7,1026.2,-8.5,0,"N",0.7,800
4750,2013,9,14,21,24,60,5,79,1,18.7,1006.6,10,0,"WNW",0,500
30202,2016,8,10,9,121,121,3,23,73,29.4,1004.3,24.5,0,"S",1.9,1000
21919,2015,8,31,6,26,26,2,2,64,19.7,1006.8,19,0.2,"NE",0.6,600
10020,2014,4,22,11,105,75,7,62,54,24.6,1008.3,0.8,0,"SW",3.8,500
25148,2016,1,12,19,15,34,9,59,15,-3.3,1024.9,-23.1,0,"WNW",2.5,700
17514,2015,2,28,17,227,227,17,66,11,3,1017,-1.6,0,"SSE",1.3,1500
26406,2016,3,5,5,46,427,2,37,63,7.2,1010.9,-15.6,0,"WNW",4.3,300
27768,2016,4,30,23,124,124,5,43,118,21.6,993.1,15,0,"E",2.3,1000
8674,2014,2,25,9,296,301,85,111,7,3.5,1018.1,-2.5,0,"WNW",0.6,4500
13758,2014,9,25,5,60,60,7,53,2,14.9,1011.9,14.9,0,"ENE",0,1100
8840,2014,3,4,7,28,5,32,114,2,1.6,1021.1,-9.4,0,"NNW",1.3,1500
914,2013,4,8,1,53,55,13,69,32,5.2,1003,3.7,0,"SW",1.1,800
13245,2014,9,3,20,20,50,2,45,75,23.6,1000.7,14.9,0,"W",1.5,800
11608,2014,6,27,15,6,6,83,16,122,34.9,998.6,7.1,0,"NE",2.4,2000
28400,2016,5,27,7,40,49,5,67,2,18.8,1005.7,7.2,0,"NE",1.2,600
26024,2016,2,18,7,9,32,4,28,52,2.3,1016.1,-16.2,0,"WNW",2.6,300
20460,2015,7,1,11,3,30,10,7,66,31.2,988.5,9.4,0,"WNW",3.5,200
30395,2016,8,18,10,80,80,2,53,2,23.1,997.5,22.4,2.6,"ENE",1.4,1700
10558,2014,5,14,21,23,65,2,81,17,14.2,1000.5,4.2,0,"NE",1.7,500
28322,2016,5,24,1,11,11,2,30,26,12.9,1002.9,8.8,0,"W",0.7,400
23686,2015,11,12,21,155,155,5,68,2,6.4,1018.8,5.5,0,"WNW",0.6,2600
17740,2015,3,10,3,6,7,3,6,69,-2.9,1027.1,-28.4,0,"N",1.3,400
2,2013,3,1,1,11,11,7,14,66,-0.1,1022.4,-19.3,0,"WNW",4.4,200
11964,2014,7,12,11,3,3,2,16,84,31.1,999.1,10.4,0,"NNE",1.3,300
17788,2015,3,12,3,77,83,24,82,11,-0.2,1014.1,-13.2,0,"E",1.3,1400
10365,2014,5,6,20,102,187,33,62,89,15.7,995.3,6.7,0,"SSE",1.4,1400
28676,2016,6,7,19,63,72,2,26,150,25.2,1004.7,16.3,0,"S",1.8,900
16560,2015,1,19,23,91,120,20,72,2,-2,1018,-12.7,0,"WNW",3.7,1800
19103,2015,5,5,22,22,23,2,47,58,20.6,1003.5,-7.9,0,"NNE",1.6,400
11516,2014,6,23,19,25,27,2,18,200,27.6,1001.2,12.4,0,"S",0.7,400
22470,2015,9,23,5,25,25,2,43,20,15.5,1005.9,13.5,0,"NE",1.1,600
13525,2014,9,15,12,9,11,2,13,70,28.2,1010,0,0,"ENE",0.7,200
19387,2015,5,17,18,150,176,8,29,139,24.3,986.9,17.1,0,"N",1.4,1200
31563,2016,10,6,2,81,81,2,52,2,14,1019.3,13.4,0,"NE",1.1,1100
19163,2015,5,8,10,64,163,16,90,30,18.8,1005.8,7.2,0,"N",2.4,1000
9174,2014,3,18,5,14,32,4,31,58,7.3,1018.5,-8.7,0,"NE",1,300
672,2013,3,28,23,119,181,3,102,2,4.3,1018.6,-5.2,0,"NE",1.3,1500
14897,2014,11,11,16,8,37,2,12,50,12,1016,-9.1,0,"NW",7.6,200
5401,2013,10,12,0,75,104,6.8544,90,1,11.3,1011.8,8.2,0,"NE",0.6,1000
13929,2014,10,2,8,42,42,2,29,3,13.9,1010,10.3,0,"NNW",1.6,1000
16854,2015,2,1,5,127,127,50,83,2,-10,1030,-19.5,0,"ESE",0.4,3000
10800,2014,5,24,23,91,91,2,22,67,19.6,1004.7,18.1,0,"SE",1.2,1000
10248,2014,5,1,23,37,77,2,19,65,14.6,1008.5,0.4,0,"NNW",6.2,400
8863,2014,3,5,6,12,14,13,62,7,-5.4,1024.5,-12.6,0,"NW",0.6,600
13704,2014,9,22,23,106,106,6,67,2,18.7,1012.8,18.7,0.9,"ESE",0.5,2500
32280,2016,11,4,23,141,166,2,100,2,5.2,999.1,4.9,0,"NE",0.6,3900
22240,2015,9,13,15,14,26,2,13,128,30,1005.4,9.5,0,"SSW",2.5,400
20159,2015,6,18,22,13,40,2,54,30,23.9,1001.9,8.7,0,"W",0.8,300
22202,2015,9,12,1,13,13,2,44,17,17,1012.3,7.6,0,"NW",3.4,600
16126,2015,1,1,21,93,160,44,82,11,-4,1022,-20.7,0,"NNE",1.5,2700
956,2013,4,9,19,7,44,3,28,73,8.4,1018.2,-13.3,0,"NW",3.1,400
23049,2015,10,17,8,241,241,2,70,2,12.7,1013.5,12.2,0,"ENE",0.8,2300
22028,2015,9,4,19,19,19,2,20,91,19.2,1002.3,18.2,4.2,"E",2.1,700
5048,2013,9,27,7,56,76,2,34,9,12,1004.8,12,0,"WSW",0.5,1200
6693,2013,12,4,20,55,85,47,59,8,6.7,1010.8,-8.1,0,"NW",1.1,900
25361,2016,1,21,16,125,125,26,73,14,-3.7,1027.8,-9.7,0,"E",1.8,2100
11685,2014,6,30,20,57,57,6,36,175,30.5,999,16.1,0,"WSW",1.6,500
4958,2013,9,23,13,3,6,6,21,16,17.4,1015.1,5.7,0,"NW",3.1,400
25054,2016,1,8,21,63,63,12,34,8,-6.6,1017.2,-16.6,0,"SE",1.6,1300
1147,2013,4,17,18,61,109,19,59.537,83,14,1004.4,-1.6,0,"ESE",1.4,600
2158,2013,5,29,21,28,90,15,56,90,24.6,1004.4,5.9,0,"WSW",3.5,500
30671,2016,8,29,22,38,151,7,100,2,24,1007.8,15.5,0,"E",0.7,800
15307,2014,11,28,18,93,158,19,80,26,7,1021,-1.2,0,"SW",3.3,1300
7111,2013,12,22,6,106,113,38,87,2,-5.8,1029.7,-15.6,0,"NE",1,2800
11172,2014,6,9,11,44,107,17,54,79,27.2,1001,10.8,0,"E",1.6,1200
4429,2013,9,1,12,32,36,14,24,97,28.2,1007.4,14.1,0,"W",1.5,700
24642,2015,12,22,17,390,390,59,138,5,-0.4,1020.3,-3.9,0,"E",0.6,5000
17909,2015,3,17,4,310,334,14,84,2,6.8,1012.3,4.5,0,"E",0.8,2100
19969,2015,6,11,0,97,97,2,32,77,18.7,995.1,16.3,0,"E",2.7,1400
16276,2015,1,8,3,87,97,34,65,3,-5,1026,-8.6,0,"ESE",0.6,2100
29759,2016,7,22,22,63,63,2,41,72,28,997.8,24,0,"S",1.2,1000
33264,2016,12,15,23,94,184,24,85,5,-3,1025.1,-14.7,0,"NE",0.7,1900
14204,2014,10,13,19,20,20,2,53,21,7.9,1014.7,-0.8,0,"WNW",1.8,500
23015,2015,10,15,22,85,85,2,29,57,13.2,1009,10,0,"WNW",0.7,1000
29780,2016,7,23,19,172,172,2,20,192,31,996.7,27.1,0,"ESE",2.2,1400
6365,2013,11,21,4,34,30,15,47,2.3562,-2.1,1022.6,-5.6,0,"NW",0.1,1000
2458,2013,6,11,9,84,128,7,77,17,22.6,1004.9,16.8,0,"SE",1.2,800
12775,2014,8,15,6,14,38,2,68,5,22,1001.3,16,0,"W",1,600
15597,2014,12,10,20,10,30,5,18,43,0.4,1024,-16.5,0,"NNE",2.6,300
28661,2016,6,7,4,68,68,2,18,97,19.6,1008.1,18.1,0.6,"ESE",1.2,900
17645,2015,3,6,4,184,210,56,87,7,-2.6,1017,-11.1,0,"ENE",1.3,2500
32091,2016,10,28,2,15,15,6,12,13,7.1,1017.9,4.7,0,"E",1,100
15086,2014,11,19,13,227,305,81,123,2,7.9,1009,-0.6,0,"ESE",1.3,2800
29022,2016,6,22,5,48,48,2,26,81,21.9,999.4,17.7,0,"ESE",1,600
1410,2013,4,28,17,105,155,67,65,108,20.9,1000,-2.3,0,"NE",2.1,2100
14675,2014,11,2,10,4,10,2,2,60,10.8,1014,-10.7,0,"W",2.1,200
15017,2014,11,16,16,15,24,6,8,62,10.9,1015,-6,0,"NNW",5.1,200
20521,2015,7,4,0,18,28,8,26,77,23.1,1005.8,9.5,0,"SSW",2.3,600
22588,2015,9,28,3,33,38,3,38,69,17.4,1013.7,15.2,0.7,"E",1.1,600
10281,2014,5,3,8,74,207,8,92,2,17.1,1008.1,1.9,0,"SW",2.7,1100
7677,2014,1,14,20,102,56,58,108,1,-3.4,1027.1,-14.2,0,"SW",1.1,2600
11571,2014,6,26,2,152,152,4,34,49,22.9,997.3,22.2,0,"W",1.4,1000
17959,2015,3,19,6,74,149,12,79,7,2.3,1012.3,-7.1,0,"E",0.6,1200
7327,2013,12,31,6,79,206,38,75,1,1.9,1007.8,-14.3,0,"WSW",1.3,2200
26314,2016,3,1,9,107,117,42,90,10,0.1,1022.6,-9.4,0,"ENE",2,3000
23612,2015,11,9,19,155,155,3,69,5,5.7,1025.1,2.7,0,"NE",1.1,1700
3176,2013,7,11,7,34,38,3,30,6,23.9,1002.5,22,0,"NNW",0,800
26304,2016,2,29,23,72,81,15,82,7,0.7,1024.9,-15.3,0,"S",1.1,1500
20159,2015,6,18,22,17,57,3,57,43,28.7,998,3.5,0,"NW",1.1,800
7645,2014,1,13,12,89,125,85,63,19,1.3,1020.5,-19.3,0,"E",1.7,1900
21876,2015,8,29,11,33,38,2,30,124,27.9,1005.5,14.9,0,"E",1.9,500
9604,2014,4,5,3,31,98,13,31,55,6.8,1019.1,-4,0,"E",1.3,500
1489,2013,5,2,0,64,151,24,51,63,16.1,1010.4,1.8,0,"SE",1.5,1200
10227,2014,5,1,2,112,171,21,37,102,18.5,1001.2,13.4,0,"W",1.3,900
26850,2016,3,23,17,3,25,2,15,94,14.4,1023.5,-16.9,0,"NE",3.1,300
25617,2016,2,1,8,8,24,13,54,17,-7.6,1032.9,-18.9,0,"ENE",0.9,700
29610,2016,7,16,17,48,63,11,27,154,24.6,995.9,17.3,0,"ENE",1.4,800
30301,2016,8,14,12,19,27,4,17,99,33.4,1002.3,17.6,0,"N",1.8,500
27982,2016,5,9,21,30,46,2,27,33,15.6,1003.1,11,0,"NW",1.3,500
15675,2014,12,14,2,123,180,82,105,3,-3.6,1031,-13.3,0,"NE",0.8,4000
4598,2013,9,8,13,125,145,40,69,73,24.9,1011.7,19,0,"ESE",1.1,2000
23416,2015,11,1,15,21,32,8,40,36,18.8,1017.1,-5.3,0,"SSW",2.4,500
25444,2016,1,25,3,14,39,11,44,23,-4.5,1029.3,-23.1,0,"N",3.4,500
3558,2013,7,27,5,73,65,8,55,12,24.1,992.5,21.4,0,"NNW",1.1,1300
24415,2015,12,13,6,117,117,8,78,2,-2.5,1022.9,-5.6,0,"NE",1.3,2100
16545,2015,1,19,8,15,23,11,40,33,-6,1022,-16.3,0,"NNE",0.8,600
30026,2016,8,3,1,58,87,8,44,81,28.3,1006,22.5,0,"WSW",1.6,1100
1062,2013,4,14,5,10,17,3,13,102,6.6,1010.2,-14.2,0,"SSE",0.5,200
8513,2014,2,18,16,92,100,51,57,39,1.2,1018.9,-8.9,0,"S",2.9,1300
29138,2016,6,27,1,45,87,4,52,85,27.8,993.9,10.9,0,"NW",1.2,700
5101,2013,9,29,12,191,198,4,42,22,18,1009.7,15.8,0,"ENE",0.4,1300
26102,2016,2,21,13,79,95,32,62,48,5.2,1020.4,-12.8,0,"WSW",4.3,1200
8337,2014,2,11,8,68,81,66,77,1,-7.1,1024,-13.6,0,"NE",1.3,2200
31714,2016,10,12,9,66,73,17,53,9,12.9,1024,7.3,0,"S",0.7,1600
20476,2015,7,2,3,17,25,2,43,9,18,996.4,13.1,0,"NE",0.8,300
11679,2014,6,30,14,96,114,29,37,307,35.2,998.4,17.9,0,"SW",3.1,1400
16498,2015,1,17,9,27,45,18,64,7,-3,1025,-16,0,"SSE",0.9,1800
21875,2015,8,29,10,15,30,2,22,108,26.4,1005.8,16.3,0,"ENE",2.4,500
1010,2013,4,12,1,45,88,3,102,2,5.5,1013.7,-7.4,0,"NNW",1,1600
2903,2013,6,29,22,160,143,3,45,28,23.2,1001.8,23.2,0,"N",0,2100
28215,2016,5,19,14,75,95,19,14,256,28.7,1009.2,7.3,0,"S",3,800
11358,2014,6,17,5,5,5,2,13,116,18.8,999.7,18,0.5,"W",1,600
4292,2013,8,26,19,111,297,35,36,254,28.5,1000.5,21.5,0,"SSE",2.4,2400
20839,2015,7,17,6,27,27,2,22,46,20.5,1002.2,19.8,0.8,"NNE",1.1,600
26049,2016,2,19,8,14,35,9,74,3,1.4,1023,-12.4,0,"NE",0.7,1000
4727,2013,9,13,22,70,29,9.4248,60.1529,1,19.9,1000.5,19.7,0.1,"SW",1,1400
155,2013,3,7,10,292,349,120,206,8,12.8,1004.4,-0.8,0,"WNW",1,7599
23174,2015,10,22,13,17,17,2,31,30,10.7,1015.5,5.7,0,"W",1.2,600
5320,2013,10,8,15,54,80,30,43.3183,88,21.4,1010.4,12,0,"SW",2.7,1000
27317,2016,4,12,4,71,99,4,50,10,7.4,1005.1,4.9,0.1,"E",1.5,400
7138,2013,12,23,9,76,76,19,76,1,0.2,1028.7,-14.2,0,"NNE",1.7,2100
32002,2016,10,24,9,25,53,2,48,4,9.6,1007.75,3.1,0,"NE",1.2,600
1119,2013,4,16,14,22,52,16,24,101,22,1000.1,-0.7,0,"NNE",1.8,300
428,2013,3,18,19,72,344,20,50,57,5.6,1000.8,-4,0,"S",2.8,900
10717,2014,5,21,12,105,142,30,70,126,28.7,1001,11.7,0,"WSW",1.5,1400
12502,2014,8,3,21,56,80,2,61,91,27.5,997.9,23.3,0,"ESE",0.6,1200
9637,2014,4,6,12,58,112,11,71,66,23,1012.9,-10.3,0,"SW",4,700
11735,2014,7,2,22,88,88,3,42,70,23.5,999,21.6,0,"ENE",0.9,1000
22388,2015,9,19,19,23,55,2,30,131,23.6,1010.3,11,0,"SSE",0.7,600
19839,2015,6,5,14,38,42,6,21,181,29.8,992.8,12.2,0,"SSE",2.2,400
3624,2013,7,29,23,57,78,3,73,35,26,990.5,21.4,0,"ENE",1.1,900
19006,2015,5,1,21,25,25,2,21,67,14.4,1006.1,13.1,1.2,"NNE",1.4,500
3029,2013,7,5,4,33,39,3.7128,70.4179,2,20.6,991.7,19.4,0,"NE",1.1,500
16465,2015,1,16,0,485,494,17,126,9,-3,1018,-3.8,0,"W",0.8,5700
15321,2014,11,29,8,98,143,6,72,2,-0.6,1015,-1.9,0,"SSE",0.5,2300
8556,2014,2,20,11,188,190,57,72,4,0,1027.3,-5.2,0,"SSE",1.3,2100
3492,2013,7,24,11,12,44,17,14,90,35.9,991.3,13.4,0,"N",1.9,500
12695,2014,8,11,22,22,67,7,42,48,21.4,996.8,13.1,0,"NW",1.6,400
15104,2014,11,20,7,251,296,5,109,5,-1,1011,-2,0,"ESE",0.9,3100
4861,2013,9,19,12,142,66,22.5624,61.59,23,25,1006.9,20,0,"WSW",2,2000
5252,2013,10,5,19,257,277,25,99,114,16.4,1018,15.4,0,"N",0,2100
32407,2016,11,10,6,205,220,2,88,2,4.6,1007.2,1.6,0,"NNW",0.7,2700
32287,2016,11,5,6,170,170,4,116,2,5.6,1003.5,5,0,"NE",0.8,4100
18316,2015,4,3,3,19,23,2,38,52,8.2,1004.2,3.4,0,"SE",0.7,500
2101,2013,5,27,12,65,66,21,35,65,21.5,1003,15.8,0,"NW",1.4,1200
8667,2014,2,25,2,392,392,42,76,7,-0.3,1018,-3.8,0,"NNW",0.8,4700
34978,2017,2,25,9,10,29,14,30,40,6.6,1015.7,-11.1,0,"NW",3.7,800
32475,2016,11,13,2,44,50,6,48,4,7.7,1016.9,3.4,0,"ESE",1.9,800
28861,2016,6,15,12,18,18,2,24,95,30.3,992.3,13.6,0,"WNW",1.3,500
11409,2014,6,19,8,135,135,3,70,65,26.1,998.4,19.7,0,"ENE",1.7,1100
17161,2015,2,14,0,275,287,51,155,7,-1,1005,-9.1,0,"NNE",0.5,4600
23252,2015,10,25,19,45,75,15,72,2,11.6,1021.4,-0.6,0,"SSE",1,1200
19950,2015,6,10,5,48,48,3,22,75,18.5,997.2,16.8,0,"NE",0.8,700
18235,2015,3,30,18,166,279,22,42,141,21.2,1002.4,8.8,0,"WSW",0.8,1200
33752,2017,1,5,7,272,272,10,132,2,-0.6,1021.7,-2.8,0,"N",2.2,7300
12582,2014,8,7,5,93,93,2,66,20,22,1003.8,19.2,0,"NNW",1.2,1400
30072,2016,8,4,23,57,57,2,18,69,29.2,1006.3,23.2,0,"SE",1.3,900
26143,2016,2,23,6,4,10,2,13,65,-1.5,1033.4,-17.7,0,"NW",3.2,200
20433,2015,6,30,8,6,14,2,29,38,18.3,1002.5,13.8,0.2,"NW",3.3,500
28292,2016,5,22,19,46,51,5,24,163,27,1009.6,5.3,0,"WSW",2,500
6543,2013,11,28,14,8,23,4,12.9339,58,5.7,1020.3,-23.7,0,"WNW",3.9,400
8224,2014,2,6,15,120,113,90,109,18,1.2,1023.6,-11.6,0,"WSW",2.6,1900
24076,2015,11,29,3,285,285,53,100,2,-1.5,1019.2,-5.2,0,"ESE",0.8,4800
15882,2014,12,22,17,51,88,24,82,10,5.1,1016,-12,0,"SW",1.4,1200
18069,2015,3,23,20,28,64,4,45,62,14.6,1023.1,-15.6,0,"SW",3.3,500
22936,2015,10,12,15,17,25,2,10,85,25.1,1014.8,-1.7,0,"W",3.2,200
34078,2017,1,18,21,43,67,11,61,18,-1.575,1028,-14.2,0,"SW",0.7,400
26559,2016,3,11,14,25,47,8,16,83,7.9,1014.2,-18,0,"S",2.8,500
15767,2014,12,17,22,95,119,32,73,2,-5.6,1025,-16.5,0,"SE",0.6,2200
30632,2016,8,28,7,5,23,2,18,2,17.4,1005.1,12.9,0,"N",0.6,300
26895,2016,3,25,14,19,19,2,7,108,12.9,1023.2,-12.4,0,"E",2.5,300
29283,2016,7,3,2,63,95,8,59,53,26.9,1001.7,17.9,0,"SW",1.7,1000
26541,2016,3,10,20,10,110,2,19,61,4,1018.5,-18.9,0,"NW",2.2,400
16312,2015,1,9,15,12,17,7,27,69,6,1022,-18,0,"NNW",2.5,300
18072,2015,3,23,23,38,86,7,53,44,11.8,1024.4,-14.9,0,"SW",1.2,600
14152,2014,10,11,15,241,241,15,60,102,19.3,1016.6,14.8,0,"WSW",0.5,1600
780,2013,4,2,11,112,146,38,87,28,14,1014.8,-0.9,0,"S",2.3,1600
23725,2015,11,14,12,182,182,24,67,8,10.3,1006.6,5.7,0,"SE",2.1,2700
23532,2015,11,6,11,14,14,2,25,37,0.5,1027.8,-0.2,0.7,"N",1.9,500
15802,2014,12,19,9,14,39,17,43,41,2,1022,-14.2,0,"NNW",4.8,500
